"","P.10","P.10.3","P.2.3","P.10.8","P.8.2","P.10.2","P.10.7","P.3.8","P.3.3","P.3.7","P.2.7","P.6.7","P.7.8","P.9.7","P.12.3","P.12","P.2.8","P.3.6","P.8","P.12.7","P.8.8","P.7.3","P.7.2","P.3","P.11.3","P.12.6","P.8.3","P.7.6","P.3.2","P.8.6","P.9.3","P.2","P.2.6","P.2.2","P.7","P.12.2","P.12.4","P.24.3","P.25.8","P.9.8","P.4.2","P.11.8","P.9.2","P.34","P.10.1","P.6.8","P.16.7","P.4.6","P.4.3","P.26.2","P.2.5","P.3.5","P.4.8","P.14.7","P.26.8","P.11.2","P.5.2","P.11.7","P.6.6","P.9.6","P.15.7","P.26.7","P.5.8","P.15.8","P.12.5","P.6.2","P.10.4","P.5.7","P.24.7","P.4.7","P.1.6","P.25.7","P.14.6","P.24.8","P.10.6","P.12.8","P.8.4","P.23.5","P.17.8","P.25.6","P.9.5","P.27.6","P.24.2","P.2.4","P.17.7","P.27.7","P.39","P.23.6","P.14.8","P.32.7","P.3.4","P.5.3","P.16.2","P.4","P.13.8","P.28.6","P.29.7","P.40","P.23.7","P.8.7","P.1.7","P.25.2","P.26.6","P.8.5","P.17.6","P.9.1","P.14.2","P.13.7","P.19.7","P.24.6","P.4.4","P.31.7","P.28.7","P.15.6","P.16.8","P.30.1","P.1.2","P.3.1","P.20.7","P.2.1","P.1.8","P.21.6","P.19.8","P.19.6","P.11","P.29.8","P.14.5","P.17.1","P.20.6","P.22.6","Activity"
"X915",0.997899908290022,0.955532656120369,1.06636885099092,0.77561450515694,1.26487916386185,0.841742153618033,0.85904490879234,0.969130476433492,1.01336991190266,0.744626643245768,0.805540517880173,1.27118743932849,1.27212425344881,0.656694249759716,1.01132414605914,0.822669278727692,1.06714705333737,0.950452832366455,0.798434988038277,0.587331718893549,1.29540391229445,1.01203785669416,1.21974259412976,0.843685290789276,1.11731507971827,1.06037704116738,1.09688779010189,0.795836515893373,1.04580013134012,0.799671924849487,0.859971514085985,0.749685237088909,0.903471298351222,1.03182293739574,0.763045064834998,0.838203788222119,0.850706585554481,0.463558540633351,0.365364042334085,0.646380780651815,0.714983868413963,1.2802792532301,0.74601809601214,0.0939512459629428,0.453216635424118,0.811539743350823,1.09851805822727,0.954387914063972,0.933134213678663,0.729725741248908,0.852412836307055,0.722595200913622,0.941306779331624,0.743723233172282,0.768238551999685,1.24694212209382,0.806953685653234,0.824095109720319,1.28586051248176,0.122038611862257,0.819573620460017,1.1088718904306,0.536495690279284,0.459462064578738,0.652395899207101,1.04114290251893,0.871602942021169,0.943761710820669,0.820748006770507,0.966754936255941,1.33211896032599,0.757824017722993,0.445419668938913,0.515382583783171,0.909607588701472,0.00968784681661911,0.924828165585041,0.951895861126242,0.570828610500665,0.966050924450623,-0.151108176984933,1.23512090117425,0.653260650647453,0.575897159396812,1.04518129251919,1.36369179325234,1.02056890788062,0.965050952184659,0.336866455544561,1.28157695336084,0.452494475326098,0.698347378537415,0.629767413512257,1.16906303089653,0.393644533268897,0.80267496127308,1.02915986279169,0.835438352611308,1.13217898272613,1.33557283756668,1.35599289001007,0.635728700184117,0.965811790934434,0.679457152780315,0.885941013888321,0.969634591272774,0.658423474421913,0.902863589073394,0.867767560570122,0.797757060520263,1.12801761532285,1.27575720926127,1.15310278958323,0.894063529699697,0.511488700667312,1.09123355109224,1.40165086684444,0.123676526028702,0.827097803851525,0.39514817498044,1.41739575138931,0.758953041709026,0.628286345177729,0.749973274830736,1.1862154261497,0.326514715904172,0.620055066508834,0.865396642864911,0.546654664467158,0.660616950492234,"active"
"X916",0.890349117890349,0.821485675273091,1.01223530041909,0.409743668571666,1.41846844544846,0.70271376218404,0.826393191234107,1.09629547591758,0.972260669945299,0.841195296554326,0.850423094448053,0.997744253808935,1.17177639181965,1.07819405702795,0.693453842466783,0.802252287198662,1.01204746746785,0.963002998975836,0.669472954034279,0.89954528888538,0.964872572034805,0.947677592072522,1.31799149437699,0.848705814595222,1.09452413547317,1.14618696335688,1.04228969130332,1.14318145052089,1.02717805125608,1.21547144894617,1.21022690371992,0.795686504245268,0.814521896472686,0.976045878993257,0.618720312657006,0.77778534432756,0.707902279036473,0.148753916660807,-0.455478685398282,1.32831073954606,1.1571408809721,1.15706099135823,1.14767604585634,0.53356096659987,0.349158735026508,-0.182739540005589,0.235147329775914,1.26405798920201,1.15248903738805,-0.192953414597682,0.706930474609043,0.755530788137427,0.954569463748278,0.0984292196866666,-0.426973873028086,1.2826268306234,0.14866673947449,1.16941203534065,1.31042407598068,1.25634473985182,0.0381822011318895,0.264705261044838,0.0631782355312657,-0.592078177514607,0.744636826604331,0.251461420519805,0.658657572686109,0.641860520705352,0.256972721662664,1.34745787975508,1.3589038700202,-0.10144403657058,-0.349697509766877,-0.336918354424185,0.81356141070294,0.539446327949522,0.830593219943375,0.435655185537204,-0.446608936470468,-0.581178014625408,0.936508701081093,-0.450497122765316,-0.115469431598207,0.357945438787428,0.176053354762532,0.328874031193817,1.20194061347605,0.00391983547702689,-0.714505218729426,0.209342959144718,0.415243741511221,0.103712541356004,-0.0902698143426675,1.16085017299074,-0.347294749956773,-0.460006050364035,0.537806659817516,1.07241683782532,0.455892928548214,1.24587413740723,1.28106532801344,-0.227924563445866,-0.6200025094915,0.905718271536353,0.177521538793299,0.704617088829926,0.00430964389569673,-0.0461368342423901,0.244276790521553,-0.366663045810013,0.780248077437848,0.446322793760813,0.388039874181804,-0.313466186246446,-0.649006903594027,0.623591747401003,0.527123875713711,0.145363623229553,0.250893551189194,0.426477038940936,1.16285465326361,0.532994017658057,0.402230169153477,0.128674068151528,0.884606493445952,0.108845769555047,-0.00543003699539994,0.891851478785973,0.0120739652248361,0.326065756549475,"active"
"X917",0.288387164383632,0.34453763877906,0.487742152420888,-0.155073711200792,1.32141846326899,-0.0130829527925069,0.58988885865012,0.90162742795163,0.889465918518413,0.733516975166021,0.412402393498561,1.3085813792286,0.878537443467083,0.950613655594269,0.239341386144652,0.0569295561092806,0.521058631974331,0.833035190203113,0.709531785175425,0.409272417257582,1.28254717289994,0.964392511938054,1.23726976224735,0.914438384974818,0.857865943223985,0.859746970820117,1.0569359490542,1.22303445644529,0.992530916378041,0.939297886109339,1.14838527575487,0.354064290077422,0.555417263502878,0.625809972028085,0.638833163507542,0.244109653487917,0.201853075157439,0.791331880621275,0.807974181784924,1.21144558397689,1.11244314175511,0.928360483113359,1.23288858225878,1.80147351264155,-0.0254497064048911,1.1627714305305,1.08777070476107,1.13806951152728,1.00771695797844,1.05262174724792,0.625756687684008,0.884671663036927,1.18722303383854,1.04938881850757,1.02290935736257,0.888403248306124,0.844344464506655,0.634170800629138,1.40030318940637,0.985912563584973,1.16391560185885,1.20735799719227,0.943731773749186,0.497356762176324,0.370759430935483,1.26957231848386,0.396822375582386,0.940712203849806,0.793225118836106,1.16600926080449,1.35799978730718,0.95307034945958,0.718006569825672,0.881603717056066,0.804970231669968,0.123638098693699,0.848133670039364,0.892194597631986,0.58846629366706,0.669282434292981,0.58643723513815,1.19145549056307,0.975758949875187,0.331650794969434,1.22711184298214,1.33909665278088,1.56255023989519,0.763898308070729,0.526296767452633,1.01877450379807,0.611301311109765,0.679689242513837,0.779972197131237,1.10438046765364,0.676587678204271,1.27584276035487,1.24202045613791,1.22380375565267,1.10417717621689,1.24587413740723,1.47742721462529,0.956118062958025,0.90203977075546,0.732573897162318,1.25847140804992,0.810369448920738,0.833951627709437,1.01735425676565,1.32018913605104,0.781746854905465,0.572310668308092,1.30590280068652,1.34002157005063,1.15151543523441,0.828484741502419,1.10723603450363,1.84983108373732,0.456637253641797,1.19560052357744,-0.0540162116890832,1.55611151089026,0.994105486696775,0.913979256547115,0.983948414415493,0.59136560023212,1.01283305470487,1.01413243913779,0.881405210242785,0.932183501956747,0.93950606185751,"active"
"X918",0.331096752644137,0.445703932510082,0.391257353232436,0.343033176108811,0.204221104538305,0.5560451176605,0.517525592710243,0.716845491399195,0.465426478512868,0.444665605092634,0.479726258350381,0.224157122125404,0.660909691319936,-0.204069724470042,0.826756776098465,1.15383379172031,0.912956938464342,0.965390158189935,0.620432197456877,0.643432594751456,0.650189297988807,0.552029076345375,0.254473947251683,0.707342874638249,0.157682941240027,0.90040634378062,0.511161784502927,-0.457201698338616,0.613398733218324,-0.865116066129163,0.0697345042424609,0.812869728115745,0.81716241747719,0.698776410476585,0.577165315843288,0.949137628377859,0.791689194514921,0.16412227126848,0.298292305556769,0.474126031307745,0.00151749551374487,-0.0247027465009559,0.0974890549123633,-0.256275718500143,-0.471412136680369,0.637493604778371,0.132151859058168,-0.458784111998531,0.170472157398909,0.169027279513898,0.761257884526495,0.545746195643854,0.669925793325433,0.00637204047749788,-0.169201497094705,0.346758725550928,0.961744064982023,0.399848601101056,0.185345112477132,-0.319108674469142,0.0779139682163703,-0.197827704639448,0.918934581082867,-0.180337995346344,0.920482158743937,0.494774541420231,1.12753810818455,0.667018953214962,-0.423996795940031,0.0255962117925881,0.448172155202144,-0.186173576758154,0.279348597437305,0.334257407624134,0.919311861538057,0.883188893633028,0.696227932467167,-0.298012263913138,-0.588792550628636,-0.489650105015212,-0.231320627760795,-0.584454395646102,0.0992979653386532,0.95889837657306,-0.04036639957965,-0.235903268521224,0.105175240816639,-0.256115002989624,0.0720884287342386,-0.655277099916816,0.62272646059073,1.11883683292642,0.533164596812646,0.136338850200673,0.399205814341678,-0.713018707064208,-0.441352069575067,-0.538322242555267,-0.0999005036808111,-0.256579090263637,0.113228844479831,0.124812497218758,0.050257062661897,-0.942164693877988,-0.395500706808228,-0.123309556923193,0.391026618201693,-0.244587324908962,-0.169936436934112,-0.343585568263793,-0.0739372165944631,-0.729355271823943,-0.397019003781255,-0.00293613637238223,-0.24874223418737,-0.822171080804744,-0.136909861896452,0.589949115847039,-0.531337222047173,0.669363737061603,-0.145161696244196,-0.527777006137585,-0.409567174694399,0.0277106830765534,0.34511437893318,-0.381156631507973,0.250811566027961,-1.12743258048624,-0.322834805859027,0.154270302639672,"active"
"X919",0.923603115153557,0.894990315682757,1.01725304906663,1.18248178388035,1.4257799900969,0.69143687136552,0.82551071238118,1.10453780019537,1.00462469258843,0.910417074589664,0.914422323998551,0.98605864759015,0.72001587716031,1.13148713610784,0.878375277501263,0.775824008615188,1.13573127868821,0.932505464979734,0.83875730058857,0.906862794432064,1.31073115552985,1.02923058277183,1.34837148083597,0.825824221886062,1.29938226062652,1.08535982139808,1.14847843334613,0.997195929544682,1.03398836200799,1.25660207387931,1.17183735214671,0.786030723079165,0.774863236904267,0.985120284231379,0.696538365767572,0.835235244693062,0.82658022422895,0.605585940476193,0.36308333396627,1.10962776916872,1.28369877973223,1.3992337316222,1.03751178955227,1.66831310710823,0.536462955742207,-0.174969831215261,0.998209425876071,1.34755325644049,1.22819290813627,0.877347832682041,0.828362004724053,0.736312378207124,1.33283289059121,0.906387375075862,0.395766448047399,1.49790807325058,0.432890561640984,1.23354232152728,1.27935461400801,1.12097081856045,1.04648615692028,1.19328855336918,-0.185483491182459,0.327414934719689,0.767674123308529,0.665601350057487,0.583998209761737,0.352157358473479,0.900653165289728,1.43733429848762,1.36400480004442,0.837948691596027,0.419677760608162,0.388149716698667,0.556544015883655,0.290567966366437,0.653108678165727,0.504312968974265,0.569138734030832,0.616984313192597,0.819744700165245,1.17831180794236,0.757418719589958,0.517192912434126,1.25556543618251,1.48120190883821,1.45586100130964,0.27466969465388,0.0225827717527159,1.51284310897609,0.346108979329986,0.214862417251001,0.821924550726027,1.24961712432497,-0.384474084131399,1.30683328105239,1.31120014897542,1.19054831866855,1.11181403253759,1.28574022636698,1.53685252241571,0.760453182556439,0.906520689891619,1.09845450278704,0.789396020017568,0.765049737177027,0.613422770047462,0.994456123227196,1.11177996500417,0.445664427678624,1.066703867553,1.49969588842027,1.33741340102085,0.695958473035665,0.426680278545626,1.16927643172932,1.7051967697827,0.123676526028702,1.15456272069887,0.298345505439595,1.0255249102437,0.762499124478276,0.843905729951091,0.820022280998556,1.26767264072684,0.69423967191005,0.29964055010674,1.0753508129034,0.802044121927722,0.964004389542661,"active"
"X920",0.506923644945259,0.633147996592439,0.774395230047055,-0.820125366415836,0.0700303495369181,0.540167868270649,0.388683680183149,0.70070208230793,0.710697356581978,0.624984063925426,0.731567382425706,0.724301068289378,-0.30806128969899,0.667191371396666,0.356024397913572,0.638091142124991,0.441740774506354,0.795738581172985,0.771007986565078,0.670263448422629,0.966158219682778,0.507227565635808,-0.0891784904524704,0.630924908143434,0.903981270790713,1.20207306758777,0.8775971930536,0.335116647653812,0.627960999343032,0.320989292562187,0.87869843371635,0.683306226225389,0.858633691703448,0.754970506494159,0.607782471024249,0.835828401771292,1.12796334692266,1.27544827837083,1.1437258518667,1.09183678537086,0.688249149358717,1.11177503842463,1.23996769676043,1.70161528605867,-0.741962677714158,0.756857139538387,0.430390917745201,0.739078032331601,0.647206149578085,0.191318101285023,1.02956854462238,0.995413052093357,1.02682627339081,0.602509307783464,1.06756531121795,1.06895779006615,-0.513499739480417,0.967154978905884,1.35149127797049,0.778170911124682,0.396651033049654,0.240083734354418,0.0866630043575361,1.48166045719999,1.33077886352271,-0.101104573627069,1.10560467729706,0.521404995356308,0.378606129630815,0.54959269081813,0.727738389987975,0.286285707113875,0.910506173434355,1.07397990965337,0.898058337305288,1.05986060027866,1.33701811394992,1.05939374313086,1.35212186534026,0.616956408560806,0.694865551755086,0.93186498450986,0.195217650469149,0.85337673242998,0.365743976098313,0.402659452608201,0.918147238838496,1.15768734957756,1.299203465614,0.569382315045721,0.537401554035843,0.249130244469196,0.162958344243517,0.582587748547327,0.921200608550844,0.996966477148519,0.514746762205006,1.24316240020013,0.323520752322674,0.331445721892787,0.415522801500699,0.0847869952847358,1.03079898336992,0.83197126727186,0.584851251866764,1.55640995165386,0.25440164246418,0.304967880013852,0.521287313704692,1.02188521247471,0.82471144815302,0.392922031807514,0.433248137364613,0.545833012112509,1.18646855686293,0.764413601421213,0.6366289988967,0.616101203648065,0.482882763380276,0.775934675983388,0.808107568605704,0.61268501923797,1.3983879293084,0.817426447824441,0.787542202411612,0.93192007677273,0.860477474028177,0.362313846432696,0.703537238383046,0.737575738331408,"active"
"X921",0.809590774532552,0.763624099438021,-0.200998142193022,0.190965020950621,0.149294347238778,0.757457352892036,0.602243562591073,-0.122349912654358,-0.0663440930286317,-0.294554617136603,-0.204317454897121,0.427486670332253,1.0824231502896,0.413645510319605,-0.291409593884866,-0.267199767482298,-0.777130138483388,-0.21541655869451,1.63279982535803,-0.239546407881692,0.965201489604187,1.1763816018541,0.0503113209073874,-0.354255382133407,-0.143677275865107,-0.267937538672122,1.43440005734591,1.2359816348284,-0.194299565127578,1.03921806648328,0.654408354514536,-0.375401056313114,-0.118806920665734,-0.394009264416417,1.36030370485516,-0.140545342114589,0.00949784161320232,1.08622060899386,1.32131110228117,0.696736061010232,-0.157492406673271,-0.140851937684083,0.198677177212693,0.514562492708767,-0.0968036952489703,1.22347876717711,0.619365216192542,-0.444970124622383,-0.296538614808623,0.317477165225017,-0.0101777783757561,0.15197095032463,-0.56065345086222,0.643622222770084,1.35506758094774,-0.321694943147186,0.0271348026170597,-0.781628594414217,0.445170317924474,0.440031705223583,0.825754117562049,0.558404900851965,0.770218942644149,1.39790642007799,0.196682027795394,1.28391780705719,0.547223900275549,-0.24249650084457,0.850046564894221,0.0222046488215471,0.392084390272891,0.483373985376276,0.817152161059761,1.20747638978007,0.706072732838815,0.128318174270142,1.85507539401671,1.24911454149366,1.0820728385754,0.837424343602153,0.557756927025037,1.17391913606286,0.310501701782481,0.10167786022869,0.661488899362733,0.452760664679698,0.531932195158823,1.37915924663591,1.41013040160593,0.706039588818365,-0.341581993108192,0.382657678101603,0.211653446948036,-0.395947345821486,1.40243938061367,1.0325248784943,0.851776035003181,0.242813297501769,0.401586394712098,0.585592039011242,0.151984479995327,0.239260792541727,1.00995794803732,1.23061092474289,0.694132224647997,1.56424652493052,0.3238987166645,0.526316504218874,0.850400129649551,0.910307035479283,-0.0007757570955791,0.682319709489915,0.786220346061184,0.74181017608615,1.27451062264516,1.22085366672449,0.453121439845328,-0.390435248791518,0.975336397923085,-0.504324629907725,0.134852402569813,1.07532096777938,1.33411566928804,0.919284138245922,0.02250897608231,1.18359635250762,0.80977894770368,1.08719330889798,0.704401273442826,1.09090683044074,"active"
"X922",0.576205403751619,0.826311396212309,0.564021897993579,0.154198536260704,-0.0227436778188519,0.67004786074566,0.516643113857321,0.968758395925239,0.617010305735347,0.563453594560681,0.556192870280841,-0.376483037520117,0.513956084957581,0.942538946642768,0.939412002942284,1.13275592247668,1.23481660963844,1.2382379682894,0.176398496622352,0.538548348582325,0.0619256330848458,0.83873409080445,0.269351781854108,0.849885353893838,0.575406451548894,0.963793677895259,0.369125946037338,0.8648250282393,0.847119754798084,-0.120489089235943,1.4983919868941,1.04555611869454,1.03290338701937,1.01236527806786,0.528497190627802,0.739240387140134,1.1424126229211,-0.153676076923972,-0.168249394441646,1.43051266559725,0.780123958565998,0.565607105310939,1.45958538455656,-0.130981582860056,-0.535333418353188,-0.146863033034858,-0.319236986522207,1.39172831650233,1.304938627462,-0.474242068693017,1.2746118530361,1.27819386107831,1.37992098717987,-0.419057253731855,-0.0127972803639711,0.943310608722207,1.03852800327275,0.678568691066037,-0.762926162995409,1.25997746934634,-0.503052759374483,0.139838947114858,0.29508361739535,-0.0323788610678138,1.05162653918787,0.321931200637365,0.402779362507342,0.384177181667528,0.0216964215782938,0.783610535819829,0.700736006253298,-0.15301853929345,-0.61336548925915,0.308766174704734,0.559898972392475,0.785985569759032,-0.530212168965067,-0.107684503732313,0.0930362261459256,0.0421751430702983,1.24691257174236,0.221070858426952,-0.408502092580249,1.29561731874411,-0.121416028695848,0.321586582165237,1.47293127948333,-0.171121587901921,0.139871100596441,0.522077874124421,1.22315744860851,0.687436348073221,-0.754698788879856,2.14335463315828,-0.0461628033776603,-0.138989314612581,0.599890999543492,1.02154229651099,-0.404526216917794,0.0473998380545151,0.562794216459584,-0.812932870175349,0.221282781360037,0.0339279985849128,-0.785846867628051,1.10955975830842,-0.587924286167995,-0.420139682037082,-0.156910863743682,-0.246641149786301,1.52628229836293,0.447184096372964,0.369782690973361,-0.339028140640133,0.0452238483056708,0.550349611787347,0.0962101970190938,0.889103486058802,-0.267522774970669,1.22198964357069,0.850481103625072,-0.513779518121315,-0.177035589501743,-0.653251969265799,1.17756698821735,0.0350696544846142,-0.61146382260647,0.454758800845743,-0.709628104593495,-0.67979556373617,"active"
"X923",0.0676913728308795,0.131826514809295,-0.0361693327127333,0.132465992767849,-0.0387941491259182,0.617134144369113,0.154826784157938,-0.429582579183557,-0.131515223602819,-0.0356138918932989,0.0425367162262174,0.00213060396849944,-0.0878580707618174,-0.0143140641098224,-0.358922359968957,-0.661665814595364,-0.0497825279084984,-0.32092172604893,-0.260819030605835,-0.46151074279776,-0.493601583217738,-0.0919556692227277,-0.0530262916502674,-0.266256130443588,-0.513505994369511,-0.199700698480503,-0.301470427824422,0.73735781608885,-0.0793438624486858,0.500218132762636,0.00771453247191063,-0.180155338275671,-0.080952632536214,-0.0586848882876894,0.0530714365016725,-0.349823010827337,-0.582437302725731,-0.101524333886891,0.0961660459574788,0.00197952737409532,-0.205713873271974,-0.570864710689443,-0.171515690656894,0.390163073888267,-0.20978084425209,-0.510655630925604,-0.369391302697802,0.277095600047125,-0.284513340917064,-0.202611055461985,0.160352928733157,-0.356762622521089,-0.598726123072454,-0.0919414518818054,0.292566710069675,-0.372687207808661,-0.290951546586457,-0.586771186385602,-0.235290161963613,-0.0213372009185646,-0.0465789019816702,-0.248829438498173,0.427230458277392,-0.514548048020309,-0.154839376639747,-0.0381769661918097,0.724643428825052,-0.317971798373399,-0.0919464705379355,-0.0371477031716387,-0.712256286083556,0.00723080845261801,-0.0064267587052382,-0.0880379511660605,0.478559046076448,-0.330549444032566,-0.361131544455172,0.324110929221073,-0.713912220615048,0.21248720121725,0.0352604007825322,-0.112918871365401,-0.199132193081213,0.181006928659388,-0.436130014093843,-0.166672502749706,-0.304511435351856,0.583843513078024,-0.417761830157937,-0.353054282919623,-0.317905125433842,0.239990712735821,-0.601415448389288,-0.356715958277709,0.332934943798672,-0.545878862214319,-0.297671169066373,0.811876982921361,0.0485939247773223,0.00504211853477236,-0.785901899479674,-0.112179995327874,0.137540277933769,0.469071627454958,-0.449031550307546,-0.606490638725078,-0.427112695661642,0.0607211222703792,-0.48515530814251,0.431905607790034,-0.0191781809210131,-0.0299775507581366,0.0941861634935239,-0.235757793754055,-0.376932530625655,-0.0472815956148603,-0.159168277359737,-0.747634496805566,-0.280922873869794,-0.708930272346328,-0.706898531660353,-0.610543412767907,-0.961098984467958,-0.885395467071125,-0.73372873510738,-0.391712532317,-0.263381130045824,-0.333018729844676,-0.727825727857464,-0.815396389446177,"active"
"X924",0.218276781217354,0.466469828315133,0.520390460722067,1.54317366637515,0.14942029804955,0.486012553127405,0.00921777342526137,0.674333802345415,0.201807106616479,0.37288005750043,0.344247369821409,0.710278340826837,0.608821870623708,0.612283350526472,0.0746348588060645,-0.109711018367583,0.327702256989283,0.567696153924881,0.81372587145667,0.0580321510167722,1.0824035030341,0.698953297495751,0.0829666469880222,0.326134715607573,0.298964462371356,0.247100282581183,0.653340886847004,-1.29788586586896e-05,0.522564094551545,-0.149438402897743,0.26416068244037,0.502233120561169,0.896486016169726,0.625782960654318,0.885768147934499,0.23349950240983,0.0851378396351574,0.182434158434774,-0.882886158823632,0.130999848272186,0.599757903980394,0.88500452140318,0.406578743881161,0.051365887269919,-0.3168118275182,0.698323030842867,0.883570988903279,-0.151972613342084,0.556960391326771,0.945922861220577,0.933087808610239,0.749565107280103,0.399649623928257,0.663284921241942,-0.747953117905564,0.572677378431952,0.95210205511893,0.365316908539023,0.992619212616982,0.564917169546168,0.865485884646531,0.962901410765979,1.00573556056516,-0.843649498715329,-0.0288180518290445,0.852236956752721,-0.737769374116044,0.963583506131269,0.808318315445291,0.111233176811324,0.943835231532543,0.905179739788344,0.778815573822592,-0.564197405480559,-0.872951016025499,-0.377899939325589,0.483895759241357,1.11935607293286,-0.0514160733652732,0.831678472035658,0.437609357002744,1.08317364416591,0.631295260707509,1.09813715034955,0.929642459523764,0.902760642194585,-0.0761964647787857,1.3222436784404,-1.13519320215063,0.319719987961084,0.564102711223027,0.499229122595703,1.09784153850263,1.07064405044291,0.0942385299479638,1.25690461371131,0.706321296216599,0.796029737238236,1.26115700058691,0.3787867025325,0.542124544184653,0.859834345150146,1.25378621441618,0.950261566506642,1.23145757906292,1.05513026885643,0.574553068097251,1.18781813977411,0.464843163212832,1.03051063764069,0.868414150181914,0.236164956396215,0.781873397678223,0.563996720349012,-0.351599933906979,0.154842079473588,0.354885080085056,-0.41977661559267,0.590083554573272,-0.424858438457376,0.197587991599022,0.954998516340546,0.197072190152897,1.0404478257053,0.544827207185166,-0.85521155141939,0.339325577834268,0.667132344767612,1.25092589598732,1.32779096269354,"active"
